serial,name,asset
VMvPZL5/1IEi,mav-testvm,12345
C02JCCB5DV33,011-adm-maccb,
C1MPM1AXG943,011-901-mackk,78625
C1MPM12JG943,011-905-macss,78626
D25PN0EXF8J7,011-402-mac01,78627
D25PN0G1F8J7,011-402-mac02,78628
D25PN0FTF8J7,011-402-mac03,78629
D25PN0FEF8J7,011-402-mac04,78630
D25PN0F1F8J7,011-402-mac05,78631
D25PN037F8J7,011-402-mac06,78632
D25PN0F9F8J7,011-402-mac07,78633
D25PN0FJF8J7,011-402-mac08,78634
D25PN0FAF8J7,011-402-mac09,78635
D25PN0EWF8J7,011-402-mac10,78636
D25PN0FVF8J7,011-402-mac11,78637
D25PN0FBF8J7,011-402-mac12,78638
D25PN0G3F8J7,011-402-mac13,78639
D25PN0FXF8J7,011-402-mac14,78640
D25PN0F8F8J7,011-402-mac15,78641
D25PN0FUF8J7,011-402-mac16,78642
D25PN0F0F8J7,011-402-mac17,78643
D25PN0FLF8J7,011-402-mac18,78644
D25PN034F8J7,011-402-mac19,78645
D25PN0FYF8J7,011-419-mac01,80856
D25PN0FDF8J7,011-419-mac02,80857
D25PN0EVF8J7,011-419-mac03,80858
D25PN0FHF8J7,011-419-mac04,80859
D25PN0F4F8J7,011-419-mac05,80860
D25PN0FMF8J7,011-419-mac06,80861
D25PN0FFF8J7,011-419-mac07,80862
D25PN0FCF8J7,011-419-mac08,80863
D25PN0FQF8J7,011-419-mac09,80864
D25PN0FSF8J7,011-419-mac10,80865
D25PN0F5F8J7,011-419-mac11,80866
D25PN0G2F8J7,011-419-mac12,80867
D25PN0FGF8J7,011-419-mac13,80868
D25PN0F7F8J7,011-419-mac14,80869
D25PN0FZF8J7,011-419-mac15,80870
D25PN03DF8J7,011-419-mac16,80871
D25PN0EYF8J7,011-419-mac17,80872
D25PN0F2F8J7,011-419-mac18,80873
D25PN0FNF8J7,011-419-mac19,80874
D25PN0F3F8J7,011-419-teach,80875
D25PN0FPF8J7,011-402-teach,80876
C02PMCVCG940,011-901-mac01,80877
C02PMCZNG940,011-901-mac02,80878
C02PMD0UG940,011-901-mac03,80879
C02PMD0YG940,011-901-mac04,80880
C02PMD13G940,011-901-mac05,80881
C02PMCV0G940,011-901-mac06,80882
C02PMCYNG940,011-901-mac07,80883
C02PMCYTG940,011-901-mac08,80884
C02PMCZ1G940,011-901-mac09,80885
C02PMCZ7G940,011-901-mac10,80886
C02PMAN4G940,011-901-mac11,80887
C02PMAPMG940,011-901-mac12,80888
C02PMAS1G940,011-901-mac13,80889
C02PMASPG940,011-901-mac14,80890
C02PMAZJG940,011-901-mac15,80891
C02PMCWPG940,011-901-mac16,80892
C02PMCXFG940,011-901-mac17,80893
C02PMCYRG940,011-901-mac18,80894
C02PMCYUG940,011-901-mac19,80895
C02PMD0HG940,011-901-mac20,80896
C02PMCWUG940,011-901-mac21,80897
C02PMCXMG940,011-901-mac22,80898
C02PMD0JG940,011-901-mac23,80899
C02PMD0MG940,011-901-mac24,80900
C02PMD0XG940,011-901-mac25,80901
C02PMAZ0G940,011-905-mac01,80902
C02PMD04G940,011-905-mac02,80903
C02PMD0EG940,011-905-mac03,80904
C02PMD0NG940,011-905-mac04,80905
C02PMD0PG940,011-905-mac05,80906
C02PMA83G940,011-905-mac06,80907
C02PMADPG940,011-905-mac07,80908
C02PMAJZG940,011-905-mac08,80909
C02PMARMG940,011-905-mac09,80910
C02PMASDG940,011-905-mac10,80911
C02PMCU7G940,011-905-mac11,80912
C02PMCY4G940,011-905-mac12,80913
C02PMCYLG940,011-905-mac13,80914
C02PMCYZG940,011-905-mac14,80915
C02PMD07G940,011-905-mac15,80916
C02PMCW3G940,011-905-mac16,80917
C02PMCZSG940,011-905-mac17,80918
C02PMD03G940,011-905-mac18,80919
C02PMD06G940,011-905-mac19,80920
C02PMD0QG940,011-905-mac20,80921
C02PMARCG940,011-905-mac21,80922
C02PMCX9G940,011-905-mac22,80923
C02PMCXXG940,011-905-mac23,80924
C02PMCYBG940,011-905-mac24,80925
C02PMCZ2G940,011-905-mac25,80926
W8046S9DAGU,107-vi-mac01,67034
C02K46ZZDTY3,046-a06-mac01,C:0301
C02K473ADTY3,046-a06-mac02,C:0302
C02M71F9FD59,010-A400-macjm,76495
W8046S9DAGU,107-vi-mac01,67034
W8046S61AGU,107-vi-mac05,61805
